Epoch,Loss,Value
0,recon_loss,6732.451309204102
0,kl_loss,45.7632070928812
0,kl_loss_0,3.788669796893373
0,kl_loss_1,3.9507416915148497
0,kl_loss_2,3.8118885927833617
0,kl_loss_3,5.203729175496846
0,kl_loss_4,4.878465604968369
0,kl_loss_5,4.535347914323211
0,kl_loss_6,6.786257416009903
0,kl_loss_7,3.595036935992539
0,kl_loss_8,5.402414905838668
0,kl_loss_9,3.8106554225087166
0,loss,6739.033004760742
1,recon_loss,6633.262625558035
1,kl_loss,33.76748293922061
1,kl_loss_0,3.17822970284356
1,kl_loss_1,3.3240796195136175
1,kl_loss_2,3.159271925214737
1,kl_loss_3,3.497582670242067
1,kl_loss_4,3.6085743033696733
1,kl_loss_5,3.313007036844889
1,kl_loss_6,3.838414033253988
1,kl_loss_7,3.1309305751134477
1,kl_loss_8,3.5088872304038397
1,kl_loss_9,3.2085056229243203
1,loss,6649.190948970734
2,recon_loss,6590.3430912078375
2,kl_loss,30.69621821812221
2,kl_loss_0,2.940094448271252
2,kl_loss_1,3.0555311952318465
2,kl_loss_2,2.8501258047800215
2,kl_loss_3,3.144203432022579
2,kl_loss_4,3.345528250648862
2,kl_loss_5,2.973733871702164
2,kl_loss_6,3.3562313866993736
2,kl_loss_7,2.885854970841181
2,kl_loss_8,3.2007440536741227
2,kl_loss_9,2.9441707550533236
2,loss,6614.5301184275795
3,recon_loss,6570.425148010254
3,kl_loss,29.250552028417587
3,kl_loss_0,2.8249321058392525
3,kl_loss_1,2.934714689850807
3,kl_loss_2,2.6756848841905594
3,kl_loss_3,2.962056625634432
3,kl_loss_4,3.2425024770200253
3,kl_loss_5,2.779359146952629
3,kl_loss_6,3.219390317797661
3,kl_loss_7,2.7505900226533413
3,kl_loss_8,3.0283366702497005
3,kl_loss_9,2.8329850882291794
3,loss,6599.549415588379
4,recon_loss,6596.827799479167
4,kl_loss,29.02532592652336
4,kl_loss_0,2.819045165228465
4,kl_loss_1,2.907196150885688
4,kl_loss_2,2.6173077348678833
4,kl_loss_3,2.945136475184607
4,kl_loss_4,3.246950626373291
4,kl_loss_5,2.7499632078503806
4,kl_loss_6,3.197726011276245
4,kl_loss_7,2.7337864959050737
4,kl_loss_8,3.0060339655194963
4,kl_loss_9,2.8021799647618852
4,loss,6625.853112599207
5,recon_loss,6571.620349702381
5,kl_loss,29.157509364779035
5,kl_loss_0,2.8427910691215876
5,kl_loss_1,2.9229161777193586
5,kl_loss_2,2.6176508192032104
5,kl_loss_3,2.9545165205758717
5,kl_loss_4,3.281329601530045
5,kl_loss_5,2.7547608292292036
5,kl_loss_6,3.214323743941292
5,kl_loss_7,2.754197287181067
5,kl_loss_8,2.996267560928587
5,kl_loss_9,2.818755509361388
5,loss,6600.7778397817465
6,recon_loss,6571.372871398926
6,kl_loss,29.196369111537933
6,kl_loss_0,2.81697628647089
6,kl_loss_1,2.899647317826748
6,kl_loss_2,2.6304305233061314
6,kl_loss_3,2.959605846554041
6,kl_loss_4,3.30570649728179
6,kl_loss_5,2.7422394417226315
6,kl_loss_6,3.239728782325983
6,kl_loss_7,2.776740536093712
6,kl_loss_8,2.985933981835842
6,kl_loss_9,2.8393598906695843
6,loss,6600.56925201416
7,recon_loss,6568.704442584325
7,kl_loss,29.246171648540194
7,kl_loss_0,2.8407081157442122
7,kl_loss_1,2.920118551405649
7,kl_loss_2,2.6069088966127425
7,kl_loss_3,2.9678601348210893
7,kl_loss_4,3.2979807361723883
7,kl_loss_5,2.7451448856838168
7,kl_loss_6,3.2399168695722307
7,kl_loss_7,2.761348697874281
7,kl_loss_8,3.006089993885585
7,kl_loss_9,2.8600949711269803
7,loss,6597.95060608879
8,recon_loss,6591.063189794147
8,kl_loss,29.065891175043014
8,kl_loss_0,2.811563908107697
8,kl_loss_1,2.9129084821731324
8,kl_loss_2,2.5999882145533486
8,kl_loss_3,2.947885520874508
8,kl_loss_4,3.308322478854467
8,kl_loss_5,2.7181222552344915
8,kl_loss_6,3.2317729753161233
8,kl_loss_7,2.743547859646025
8,kl_loss_8,2.950249463792831
8,kl_loss_9,2.8415301754361106
8,loss,6620.129084511409
9,recon_loss,6552.564582824707
9,kl_loss,29.413964867591858
9,kl_loss_0,2.835679456591606
9,kl_loss_1,2.944492518901825
9,kl_loss_2,2.598608758300543
9,kl_loss_3,2.990405637770891
9,kl_loss_4,3.3593893982470036
9,kl_loss_5,2.7558978497982025
9,kl_loss_6,3.2825027778744698
9,kl_loss_7,2.7730583287775517
9,kl_loss_8,3.0084376633167267
9,kl_loss_9,2.8654926531016827
9,loss,6581.978538513184
10,recon_loss,6584.4423828125
10,kl_loss,29.234122563922217
10,kl_loss_0,2.840638217471895
10,kl_loss_1,2.9361728108118452
10,kl_loss_2,2.5785006568545388
10,kl_loss_3,2.9637875064970953
10,kl_loss_4,3.332667411319793
10,kl_loss_5,2.748267998771062
10,kl_loss_6,3.2471314006381564
10,kl_loss_7,2.7443381264096214
10,kl_loss_8,2.9735000019981745
10,kl_loss_9,2.869118535329425
10,loss,6613.676494295635
11,recon_loss,6553.297231522817
11,kl_loss,29.263765456184508
11,kl_loss_0,2.836731244647314
11,kl_loss_1,2.9264112616342213
11,kl_loss_2,2.5767541688586038
11,kl_loss_3,2.975047066098168
11,kl_loss_4,3.364830486358158
11,kl_loss_5,2.740914568068489
11,kl_loss_6,3.2900918438321067
11,kl_loss_7,2.728705409973387
11,kl_loss_8,2.967624785408141
11,kl_loss_9,2.8566547764672174
11,loss,6582.5610274057535
12,recon_loss,6540.20703125
12,kl_loss,29.38012209534645
12,kl_loss_0,2.849012855440378
12,kl_loss_1,2.947069928050041
12,kl_loss_2,2.5801039524376392
12,kl_loss_3,2.982485208660364
12,kl_loss_4,3.381323888897896
12,kl_loss_5,2.7615165933966637
12,kl_loss_6,3.2922880426049232
12,kl_loss_7,2.748583186417818
12,kl_loss_8,2.9479614049196243
12,kl_loss_9,2.8897770531475544
12,loss,6569.587142944336
13,recon_loss,6569.646414620535
13,kl_loss,29.3715081593347
13,kl_loss_0,2.8456870033627464
13,kl_loss_1,2.952219183482821
13,kl_loss_2,2.5897302362653942
13,kl_loss_3,2.980213937305269
13,kl_loss_4,3.3805012021745955
13,kl_loss_5,2.736553839274815
13,kl_loss_6,3.2920092401050387
13,kl_loss_7,2.7348029197208463
13,kl_loss_8,2.9669133708590554
13,kl_loss_9,2.8928769921499584
13,loss,6599.017934647817
14,recon_loss,6529.476647755457
14,kl_loss,29.44123779781281
14,kl_loss_0,2.8415943970755926
14,kl_loss_1,2.9429415521167575
14,kl_loss_2,2.586266241376362
14,kl_loss_3,2.9900155256664944
14,kl_loss_4,3.4199624591403537
14,kl_loss_5,2.7505324000403997
14,kl_loss_6,3.3166090004027837
14,kl_loss_7,2.7426969513060553
14,kl_loss_8,2.9643096583230153
14,kl_loss_9,2.8863095972273083
14,loss,6558.917883494543
15,recon_loss,6544.296516418457
15,kl_loss,29.369612216949463
15,kl_loss_0,2.8557109385728836
15,kl_loss_1,2.943415179848671
15,kl_loss_2,2.5760072767734528
15,kl_loss_3,2.9675529785454273
15,kl_loss_4,3.4091219641268253
15,kl_loss_5,2.7257830388844013
15,kl_loss_6,3.3101500533521175
15,kl_loss_7,2.7321272008121014
15,kl_loss_8,2.9549607299268246
15,kl_loss_9,2.894782904535532
15,loss,6573.6661376953125
16,recon_loss,6529.6048254588295
16,kl_loss,29.460730446709526
16,kl_loss_0,2.8413327043018644
16,kl_loss_1,2.9629500858367437
16,kl_loss_2,2.58930604420011
16,kl_loss_3,2.998138673721798
16,kl_loss_4,3.4312417053041004
16,kl_loss_5,2.725625704205225
16,kl_loss_6,3.3142433847699846
16,kl_loss_7,2.723044478704059
16,kl_loss_8,2.9731026225619845
16,kl_loss_9,2.9017449182177346
16,loss,6559.065545944941
17,recon_loss,6557.930788070436
17,kl_loss,29.357716575501456
17,kl_loss_0,2.813142935434977
17,kl_loss_1,2.9324607432834684
17,kl_loss_2,2.570744412285941
17,kl_loss_3,2.9678101539611816
17,kl_loss_4,3.457917607019818
17,kl_loss_5,2.7269035596696156
17,kl_loss_6,3.327747095198858
17,kl_loss_7,2.7180180473933144
17,kl_loss_8,2.9462315619937955
17,kl_loss_9,2.8967406787569563
17,loss,6587.288481212798
18,recon_loss,6577.894248962402
18,kl_loss,29.386696994304657
18,kl_loss_0,2.8213342390954494
18,kl_loss_1,2.9305701851844788
18,kl_loss_2,2.611258566379547
18,kl_loss_3,2.9808906838297844
18,kl_loss_4,3.4337052330374718
18,kl_loss_5,2.7342177480459213
18,kl_loss_6,3.2916304543614388
18,kl_loss_7,2.7303225249052048
18,kl_loss_8,2.945232219994068
18,kl_loss_9,2.9075351394712925
18,loss,6607.280937194824
19,recon_loss,6555.189321366567
19,kl_loss,29.425537775433252
19,kl_loss_0,2.8327682775164407
19,kl_loss_1,2.9250047736697726
19,kl_loss_2,2.589781715756371
19,kl_loss_3,2.9789581336672346
19,kl_loss_4,3.47885190872919
19,kl_loss_5,2.7382401322561596
19,kl_loss_6,3.331868394972786
19,kl_loss_7,2.734855080407763
19,kl_loss_8,2.921162067897736
19,kl_loss_9,2.8940471997336736
19,loss,6584.614870101686
20,recon_loss,6535.606313554067
20,kl_loss,29.482160083831303
20,kl_loss_0,2.8297698157174245
20,kl_loss_1,2.948247962527805
20,kl_loss_2,2.5909967725239103
20,kl_loss_3,2.9966857357630654
20,kl_loss_4,3.464479332878476
20,kl_loss_5,2.714072658902123
20,kl_loss_6,3.3476546340518527
20,kl_loss_7,2.722721887013269
20,kl_loss_8,2.9497699094197105
20,kl_loss_9,2.917761299345228
20,loss,6565.088464161707
21,recon_loss,6554.448341369629
21,kl_loss,29.543211460113525
21,kl_loss_0,2.8222640678286552
21,kl_loss_1,2.9670791663229465
21,kl_loss_2,2.559214562177658
21,kl_loss_3,3.010249435901642
21,kl_loss_4,3.4949260242283344
21,kl_loss_5,2.7368354685604572
21,kl_loss_6,3.343641433864832
21,kl_loss_7,2.7217035815119743
21,kl_loss_8,2.953466486185789
21,kl_loss_9,2.9338312596082687
21,loss,6583.991554260254
22,recon_loss,6559.108584449405
22,kl_loss,29.448620357210675
22,kl_loss_0,2.8240911355094305
22,kl_loss_1,2.9502978400578574
22,kl_loss_2,2.591668363601442
22,kl_loss_3,2.9545230222126793
22,kl_loss_4,3.5018247384873646
22,kl_loss_5,2.7286736662425692
22,kl_loss_6,3.3314347759125726
22,kl_loss_7,2.7092658224559965
22,kl_loss_8,2.936060106943524
22,kl_loss_9,2.920780829020909
22,loss,6588.557214161707
23,recon_loss,6543.541751922123
23,kl_loss,29.398319668240017
23,kl_loss_0,2.7910334269205728
23,kl_loss_1,2.94591380300976
23,kl_loss_2,2.5734931476532465
23,kl_loss_3,2.9795913961198597
23,kl_loss_4,3.508068709146409
23,kl_loss_5,2.7232027205209883
23,kl_loss_6,3.345881590767512
23,kl_loss_7,2.7158600073012096
23,kl_loss_8,2.906918900353568
23,kl_loss_9,2.9083558945428756
23,loss,6572.940057663691
24,recon_loss,6562.935833643353
24,kl_loss,29.46453012738909
24,kl_loss_0,2.8220607893807546
24,kl_loss_1,2.9475528701903326
24,kl_loss_2,2.5802438713255382
24,kl_loss_3,2.9885141773829385
24,kl_loss_4,3.498116822469802
24,kl_loss_5,2.7025137363918246
24,kl_loss_6,3.349813767841884
24,kl_loss_7,2.742077668507894
24,kl_loss_8,2.908883503505162
24,kl_loss_9,2.924753177733648
24,loss,6592.400375124008
25,recon_loss,6542.994338989258
25,kl_loss,29.54953181743622
25,kl_loss_0,2.805740863084793
25,kl_loss_1,2.9494510516524315
25,kl_loss_2,2.5945042334496975
25,kl_loss_3,3.0008614398539066
25,kl_loss_4,3.5315715707838535
25,kl_loss_5,2.7416861951351166
25,kl_loss_6,3.344074632972479
25,kl_loss_7,2.73275662958622
25,kl_loss_8,2.9236805848777294
25,kl_loss_9,2.9252046644687653
25,loss,6572.543853759766
26,recon_loss,6519.709612165178
26,kl_loss,29.618593215942383
26,kl_loss_0,2.8050226219116694
26,kl_loss_1,2.979041372026716
26,kl_loss_2,2.572728168396723
26,kl_loss_3,2.981725431623913
26,kl_loss_4,3.5775599063388883
26,kl_loss_5,2.7244826271420433
26,kl_loss_6,3.347885404314314
26,kl_loss_7,2.7415027959006175
26,kl_loss_8,2.9448151020776656
26,kl_loss_9,2.9438297256590826
26,loss,6549.328194754465
27,recon_loss,6539.587727864583
27,kl_loss,29.565508342924574
27,kl_loss_0,2.821071322002108
27,kl_loss_1,2.95359904803927
27,kl_loss_2,2.579828175287398
27,kl_loss_3,2.988880206668188
27,kl_loss_4,3.5481278480045377
27,kl_loss_5,2.7362123973785883
27,kl_loss_6,3.362056266693842
27,kl_loss_7,2.734172408542936
27,kl_loss_8,2.9060469998253717
27,kl_loss_9,2.9355137083265515
27,loss,6569.153235057043
28,recon_loss,6544.225654602051
28,kl_loss,29.574130177497864
28,kl_loss_0,2.8248333744704723
28,kl_loss_1,2.9669049344956875
28,kl_loss_2,2.5884469375014305
28,kl_loss_3,2.9795528762042522
28,kl_loss_4,3.581106536090374
28,kl_loss_5,2.7346538193523884
28,kl_loss_6,3.353970520198345
28,kl_loss_7,2.7212300822138786
28,kl_loss_8,2.893629737198353
28,kl_loss_9,2.9298012144863605
28,loss,6573.799774169922
29,recon_loss,6545.857034350199
29,kl_loss,29.5980964539543
29,kl_loss_0,2.797119553126986
29,kl_loss_1,2.965750497484964
29,kl_loss_2,2.592939369262211
29,kl_loss_3,2.9770908582778204
29,kl_loss_4,3.576186982412187
29,kl_loss_5,2.75245081432282
29,kl_loss_6,3.3492614693111844
29,kl_loss_7,2.75811663506523
29,kl_loss_8,2.9110690676976763
29,kl_loss_9,2.9181109874967546
29,loss,6575.455116877481
30,recon_loss,6540.098470052083
30,kl_loss,29.670292718069895
30,kl_loss_0,2.814747715753222
30,kl_loss_1,2.9733933494204567
