Epoch,Loss,Value
0,recon_loss,87.90067844473438
0,kl_loss,20.713246601484556
0,kl_loss_0,2.8778999281071482
0,kl_loss_1,2.198616015172495
0,kl_loss_2,2.812354947936225
0,kl_loss_3,1.765802422804492
0,kl_loss_4,2.739797578277913
0,kl_loss_5,1.3080780557094713
0,kl_loss_6,2.0179065494310287
0,kl_loss_7,1.0654294193597325
0,kl_loss_8,2.856850892063472
0,kl_loss_9,1.0705108254889906
0,loss,127.43447839646112
1,recon_loss,64.41698192098866
1,kl_loss,15.036973132257875
1,kl_loss_0,2.3624581596125727
1,kl_loss_1,1.7309917361839957
1,kl_loss_2,2.1727139763210133
1,kl_loss_3,1.017318326493968
1,kl_loss_4,2.264005758451379
1,kl_loss_5,0.6670131289440653
1,kl_loss_6,1.5375196752340898
1,kl_loss_7,0.5277445337046748
1,kl_loss_8,2.3174808336340864
1,kl_loss_9,0.4397269940894583
1,loss,124.56487473197605
2,recon_loss,60.05841520235136
2,kl_loss,14.900829740416953
2,kl_loss_0,2.4270257536983078
2,kl_loss_1,1.7287348245645497
2,kl_loss_2,2.1673182006522174
2,kl_loss_3,0.9039126103058522
2,kl_loss_4,2.276665023911051
2,kl_loss_5,0.6140195358367193
2,kl_loss_6,1.5104243775982877
2,kl_loss_7,0.5060074635140308
2,kl_loss_8,2.329057735798163
2,kl_loss_9,0.43766423840543406
2,loss,119.661734180533
3,recon_loss,57.53096296890922
3,kl_loss,14.796714712225873
3,kl_loss_0,2.5144238534181014
3,kl_loss_1,1.7306219862855
3,kl_loss_2,2.196828020137289
3,kl_loss_3,0.8296711364518041
3,kl_loss_4,2.2547167156053627
3,kl_loss_5,0.5772295363571333
3,kl_loss_6,1.459309128056402
3,kl_loss_7,0.4839118564906328
3,kl_loss_8,2.3244965522185614
3,kl_loss_9,0.42550592765859935
3,loss,116.71782190074092
4,recon_loss,55.578122197026794
4,kl_loss,14.74923964376035
4,kl_loss_0,2.579070004172947
4,kl_loss_1,1.771531707825868
4,kl_loss_2,2.229075744877691
4,kl_loss_3,0.7627886450808982
4,kl_loss_4,2.2517072221507197
4,kl_loss_5,0.5627828586360683
4,kl_loss_6,1.3967848591182543
4,kl_loss_7,0.4818340269119843
4,kl_loss_8,2.3158621290455694
4,kl_loss_9,0.39780246809772823
4,loss,114.57508073889692
5,recon_loss,53.48611491479915
5,kl_loss,14.707060277203977
5,kl_loss_0,2.641896031119607
5,kl_loss_1,1.7874806536224497
5,kl_loss_2,2.243754376580705
5,kl_loss_3,0.7255195835968117
5,kl_loss_4,2.2414916284156567
5,kl_loss_5,0.5353858918596656
5,kl_loss_6,1.3594745805253199
5,kl_loss_7,0.468623531200153
5,kl_loss_8,2.3360794983900988
5,kl_loss_9,0.367354547048544
5,loss,112.31435625480883
6,recon_loss,51.35552280260169
6,kl_loss,14.752167763917342
6,kl_loss_0,2.6849620238594385
6,kl_loss_1,1.8055507939794788
6,kl_loss_2,2.267725155664527
6,kl_loss_3,0.7183987563071044
6,kl_loss_4,2.2672692371451335
6,kl_loss_5,0.5222802478334178
