Epoch,Loss,Value
0,recon_loss,6778.22998046875
0,loss,6820.578804016113
0,mi_loss,42.38029599189758
0,tc_loss,-26.596690237522125
0,dw_kl_loss,4.989888425916433
0,kl_loss,20.85850140452385
0,kl_loss_0,1.5510603815782815
0,kl_loss_1,1.6087228236719966
0,kl_loss_2,1.6563972965814173
0,kl_loss_3,2.453562922310084
0,kl_loss_4,1.9494131430983543
0,kl_loss_5,1.9609830267727375
0,kl_loss_6,4.95973564684391
0,kl_loss_7,1.391738349571824
0,kl_loss_8,1.9403669750317931
0,kl_loss_9,1.3865209473297
1,recon_loss,6670.441150483631
1,loss,6721.231081039186
1,mi_loss,42.587910364544584
1,tc_loss,-25.530409585861932
1,dw_kl_loss,2.6736364270013477
1,kl_loss,19.730632448953294
1,kl_loss_0,1.6124893237674047
1,kl_loss_1,1.6248792031454662
1,kl_loss_2,1.7379742330975003
1,kl_loss_3,2.3102029107865834
1,kl_loss_4,1.939652547003731
1,kl_loss_5,2.09325473270719
1,kl_loss_6,3.4348057905832925
1,kl_loss_7,1.5148644352716112
1,kl_loss_8,1.9553609253868225
1,kl_loss_9,1.5071484191077096
2,recon_loss,6632.218525235615
2,loss,6684.728794642857
2,mi_loss,42.54328167627728
2,tc_loss,-25.273011525472004
2,dw_kl_loss,1.968044332095555
2,kl_loss,19.289521323310005
2,kl_loss_0,1.5869507449013847
2,kl_loss_1,1.5715423784558735
2,kl_loss_2,1.6880955128442674
2,kl_loss_3,2.2463618516921997
2,kl_loss_4,1.9314446430357675
2,kl_loss_5,2.1239415426102894
2,kl_loss_6,3.2394511396922763
2,kl_loss_7,1.4896882658913022
2,kl_loss_8,1.9287906809458657
2,kl_loss_9,1.4832545727018327
3,recon_loss,6607.909149169922
3,loss,6661.481269836426
3,mi_loss,42.58758068084717
3,tc_loss,-25.15187031030655
3,dw_kl_loss,1.6135838124901056
3,kl_loss,19.09002521634102
3,kl_loss_0,1.5602069068700075
3,kl_loss_1,1.5598223712295294
3,kl_loss_2,1.690946625545621
3,kl_loss_3,2.200765298679471
3,kl_loss_4,1.9364208187907934
3,kl_loss_5,2.1401176806539297
3,kl_loss_6,3.168676946312189
3,kl_loss_7,1.4958684220910072
3,kl_loss_8,1.8787820115685463
3,kl_loss_9,1.4584181811660528
4,recon_loss,6629.039411272322
4,loss,6682.519368489583
4,mi_loss,42.552481272863965
4,tc_loss,-25.108957472301665
4,dw_kl_loss,1.4149040579795837
4,kl_loss,18.82754107883998
4,kl_loss_0,1.5688834228212871
4,kl_loss_1,1.5302230422458951
4,kl_loss_2,1.6634199638215323
4,kl_loss_3,2.1733887517263017
4,kl_loss_4,1.9112893494348677
4,kl_loss_5,2.121338921879965
4,kl_loss_6,3.1146347825489347
4,kl_loss_7,1.4695869457154047
4,kl_loss_8,1.8382715857218181
4,kl_loss_9,1.4365041729003665
5,recon_loss,6603.799169146825
5,loss,6658.206752232143
5,mi_loss,42.572396172417534
5,tc_loss,-24.9708194732666
5,dw_kl_loss,1.3588664020810808
5,kl_loss,18.95417570689368
5,kl_loss_0,1.581103145130097
5,kl_loss_1,1.5379754588717507
5,kl_loss_2,1.66604330993834
5,kl_loss_3,2.1502877530597506
5,kl_loss_4,1.9054571446918307
5,kl_loss_5,2.1565796269310846
5,kl_loss_6,3.1828920992593916
5,kl_loss_7,1.494463532690018
